"","player_name","three_pointers_made","player_name","three_pointers_missed","player_name","two_pointers_made","player_name","two_pointers_missed"
"80","paul millsap",61,"carmelo anthony",116,"luis scola",215,"nene hilario",224
"81","alan anderson",60,"hollis thompson",116,"chris kaman",213,"arron afflalo",223
"82","carmelo anthony",60,"vince carter",116,"kemba walker",212,"chris kaman",221
"83","darren collison",60,"rasual butler",115,"kobe bryant",212,"donatas motiejunas",216
"84","tobias harris",60,"alan anderson",114,"ed davis",211,"deron williams",214
"85","ty lawson",60,"jeff teague",113,"rodney stuckey",209,"wilson chandler",214
"86","jimmy butler",59,"marvin williams",113,"jamal crawford",207,"jonas valanciunas",212
"87","marcus smart",59,"paul millsap",113,"arron afflalo",206,"taj gibson",212
"88","shawne williams",59,"gary neal",112,"taj gibson",206,"henry sims",205
"89","charlie villanueva",58,"chris copeland",111,"darren collison",200,"kris humphries",205
"90","luol deng",58,"solomon hill",110,"gorgui dieng",200,"gorgui dieng",203
"91","deron williams",57,"wayne ellington",110,"henry sims",200,"kentavious caldwell-pope",203
"92","jeff teague",57,"jimmy butler",109,"trey burke",198,"lance stephenson",203
"93","rudy gay",57,"ty lawson",108,"wilson chandler",198,"jrue holiday",202
"94","jose calderon",56,"caron butler",106,"nerles noel",197,"isaiah thomas",200
"95","mike scott",56,"victor oladipo",106,"chandler parsons",196,"aaron brooks",199
"96","marco belinelli",55,"bradley beal",105,"khris middleton",195,"dennis schroder",197
"97","steve blake",55,"chris bosh",105,"elfrid payton",194,"khris middleton",197
"98","jeremy lin",54,"brian roberts",104,"dwight howard",191,"luol deng",197
"99","kobe bryant",54,"kj mcdaniels",104,"jason smith",189,"jeremy lin",196
"100","victor oladipo",54,"luc mbah a moute",104,"kawhi leonard",189,"zaza pachulia",196
